species	phase	gene_id	gene_name
mouse	G2/M	ENSMUSG00000024056	Ndc80
mouse	G2/M	ENSMUSG00000024795	Kif20b
mouse	G2/M	ENSMUSG00000026605	Cenpf
mouse	G2/M	ENSMUSG00000026622	Nek2
mouse	G2/M	ENSMUSG00000026683	Nuf2
mouse	G2/M	ENSMUSG00000027306	Nusap1
mouse	G2/M	ENSMUSG00000027379	Bub1
mouse	G2/M	ENSMUSG00000027469	Tpx2
mouse	G2/M	ENSMUSG00000027496	Aurka
mouse	G2/M	ENSMUSG00000027699	Ect2
mouse	G2/M	ENSMUSG00000028044	Cks1b
mouse	G2/M	ENSMUSG00000028678	Kif2c
mouse	G2/M	ENSMUSG00000028873	Cdca8
mouse	G2/M	ENSMUSG00000029177	Cenpa
mouse	G2/M	ENSMUSG00000031004	Mki67
mouse	G2/M	ENSMUSG00000032218	Ccnb2
mouse	G2/M	ENSMUSG00000032254	Kif23
mouse	G2/M	ENSMUSG00000034349	Smc4
mouse	G2/M	ENSMUSG00000035293	G2e3
mouse	G2/M	ENSMUSG00000036752	Tubb4b
mouse	G2/M	ENSMUSG00000036777	Anln
mouse	G2/M	ENSMUSG00000037313	Tacc3
mouse	G2/M	ENSMUSG00000037544	Dlgap5
mouse	G2/M	ENSMUSG00000037725	Ckap2
mouse	G2/M	ENSMUSG00000038252	Ncapd2
mouse	G2/M	ENSMUSG00000038379	Ttk
mouse	G2/M	ENSMUSG00000040549	Ckap5
mouse	G2/M	ENSMUSG00000044201	Cdc25c
mouse	G2/M	ENSMUSG00000044783	Hjurp
mouse	G2/M	ENSMUSG00000045328	Cenpe
mouse	G2/M	ENSMUSG00000048327	Ckap2l
mouse	G2/M	ENSMUSG00000048922	Cdca2
mouse	G2/M	ENSMUSG00000054717	Hmgb2
mouse	G2/M	ENSMUSG00000062248	Cks2
mouse	G2/M	ENSMUSG00000068744	Psrc1
mouse	G2/M	ENSMUSG00000074802	Gas2l3
mouse	S	ENSMUSG00000000028	Cdc45
mouse	S	ENSMUSG00000001228	Uhrf1
mouse	S	ENSMUSG00000002870	Mcm2
mouse	S	ENSMUSG00000004642	Slbp
mouse	S	ENSMUSG00000005410	Mcm5
mouse	S	ENSMUSG00000006678	Pola1
mouse	S	ENSMUSG00000006715	Gmnn
mouse	S	ENSMUSG00000017499	Cdc6
mouse	S	ENSMUSG00000020649	Rrm2
mouse	S	ENSMUSG00000022360	Atad2
mouse	S	ENSMUSG00000022422	Dscc1
mouse	S	ENSMUSG00000022673	Mcm4
mouse	S	ENSMUSG00000022945	Chaf1b
mouse	S	ENSMUSG00000023104	Rfc2
mouse	S	ENSMUSG00000024151	Msh2
mouse	S	ENSMUSG00000024742	Fen1
mouse	S	ENSMUSG00000025001	Hells
mouse	S	ENSMUSG00000025395	Prim1
mouse	S	ENSMUSG00000025747	Tyms
mouse	S	ENSMUSG00000026355	Mcm6
mouse	S	ENSMUSG00000027242	Wdr76
mouse	S	ENSMUSG00000027323	Rad51
mouse	S	ENSMUSG00000027342	Pcna
mouse	S	ENSMUSG00000028212	Ccne2
mouse	S	ENSMUSG00000028282	Casp8ap2
mouse	S	ENSMUSG00000028560	Usp1
mouse	S	ENSMUSG00000028693	Nasp
mouse	S	ENSMUSG00000028884	Rpa2
mouse	S	ENSMUSG00000029591	Ung
mouse	S	ENSMUSG00000030346	Rad51ap1
mouse	S	ENSMUSG00000030528	Blm
mouse	S	ENSMUSG00000030726	Pold3
mouse	S	ENSMUSG00000030978	Rrm1
mouse	S	ENSMUSG00000031629	Cenpu
mouse	S	ENSMUSG00000031821	Gins2
mouse	S	ENSMUSG00000032397	Tipin
mouse	S	ENSMUSG00000034329	Brip1
mouse	S	ENSMUSG00000037474	Dtl
mouse	S	ENSMUSG00000039748	Exo1
mouse	S	ENSMUSG00000041712	Ubr7
mouse	S	ENSMUSG00000042489	Clspn
mouse	S	ENSMUSG00000046179	E2f8
mouse	S	ENSMUSG00000055612	Cdca7
